iter	RMSE
0	12.95642352
1	12.6324703
2	12.31826493
3	12.013841
4	11.72022446
5	11.44185976
6	11.149894
7	10.87690083
8	10.6177891
9	10.36650976
10	10.12128477
11	9.897646061
12	9.672626764
13	9.447092122
14	9.228931157
15	9.02007997
16	8.813064171
17	8.614886149
18	8.417567038
19	8.227232369
20	8.048966782
21	7.872372577
22	7.698926204
23	7.535599059
24	7.374940636
25	7.225511545
26	7.078545506
27	6.931807238
28	6.79352251
29	6.654736862
30	6.520558017
31	6.393845755
32	6.270190808
33	6.149806268
34	6.034426444
35	5.922692913
36	5.813517359
37	5.709338713
38	5.607893955
39	5.511762649
40	5.416778023
41	5.326482438
42	5.239765553
43	5.152713537
44	5.069701182
45	4.99459347
46	4.923119251
47	4.850157763
48	4.780413263
49	4.711772405
50	4.645028472
51	4.582543066
52	4.521588827
53	4.462573882
54	4.408408785
55	4.355441346
56	4.300766617
57	4.248614681
58	4.200274094
59	4.15249616
60	4.106810877
61	4.062147455
62	4.01802803
63	3.976265586
64	3.936322609
65	3.897621764
66	3.860101501
67	3.825637155
68	3.793132167
69	3.76041442
70	3.729264666
71	3.699122532
72	3.670675026
73	3.642922832
74	3.615782782
75	3.592109004
76	3.567305463
77	3.542617686
78	3.519735082
79	3.497789901
80	3.476784071
81	3.456293585
82	3.436840097
83	3.41783901
84	3.398186012
85	3.380178687
86	3.363078172
87	3.345478262
88	3.329593443
89	3.313428711
90	3.297854293
91	3.28332139
92	3.269653664
93	3.255527546
94	3.242145311
95	3.229802597
96	3.217667391
97	3.20588218
98	3.194586766
99	3.183957255
100	3.173320942
101	3.16296716
102	3.153044878
103	3.143666547
104	3.134063198
105	3.125221033
106	3.116207053
107	3.107725454
108	3.098855076
109	3.090070348
110	3.081771557
111	3.073475001
112	3.066200837
113	3.058776175
114	3.051157605
115	3.044028509
116	3.036793238
117	3.030083018
118	3.023132744
119	3.016199143
120	3.010118248
121	3.003746887
122	2.997405037
123	2.992144525
124	2.986338078
125	2.980695531
126	2.975117293
127	2.969423155
128	2.963672744
129	2.959173926
130	2.954534845
131	2.949806427
132	2.945697293
133	2.941133731
134	2.936031948
135	2.931793974
136	2.927076216
137	2.922428173
138	2.918347023
139	2.913682524
140	2.909908587
141	2.906196665
142	2.902245727
143	2.898040153
144	2.894460345
145	2.89068528
146	2.887383032
147	2.884027685
148	2.880348963
149	2.877540601
150	2.873648975
151	2.870327739
152	2.868115774
153	2.864734044
154	2.861522888
155	2.858083957
156	2.855916282
157	2.852920892
158	2.849934355
159	2.846968566
160	2.844146107
161	2.84167115
162	2.839515454
163	2.836299161
164	2.83322144
165	2.831026141
166	2.827939206
167	2.824759763
168	2.823063841
169	2.820705914
170	2.818548703
171	2.815427873
172	2.812501837
173	2.810483352
174	2.808297111
175	2.805468224
176	2.803493853
177	2.801179933
178	2.798398797
179	2.79633993
180	2.794816459
181	2.792830358
182	2.790785331
183	2.788888306
184	2.78643139
185	2.784106302
186	2.781838243
187	2.779488736
188	2.777919173
189	2.775925657
190	2.774338528
191	2.771684035
192	2.769158082
