iter	Passed	Remaining
0	10	15050
1	19	14528
2	28	14224
3	37	14000
4	46	13916
5	55	13832
6	64	13804
7	73	13742
8	83	13764
9	92	13774
10	102	13880
11	113	14018
12	123	14105
13	133	14138
14	142	14156
15	153	14216
16	164	14306
17	174	14329
18	183	14336
19	193	14332
20	203	14329
21	213	14325
22	223	14382
23	233	14385
24	245	14473
25	255	14477
26	265	14473
27	276	14537
28	286	14538
29	299	14656
30	309	14673
31	319	14642
32	328	14623
33	338	14602
34	349	14610
35	359	14622
36	369	14604
37	379	14600
38	389	14587
39	399	14586
40	409	14575
41	419	14558
42	429	14538
43	439	14532
44	449	14527
45	459	14528
46	469	14512
47	479	14492
48	489	14490
49	499	14488
50	509	14482
51	520	14485
52	530	14490
53	541	14491
54	551	14480
55	560	14463
56	570	14435
57	579	14409
58	588	14378
59	597	14348
60	607	14325
61	616	14303
62	626	14281
63	635	14260
64	645	14250
65	655	14232
66	664	14222
67	674	14205
68	683	14180
69	693	14160
70	702	14141
71	711	14118
72	721	14099
73	731	14091
74	740	14078
75	750	14066
76	760	14060
77	770	14040
78	780	14032
79	790	14028
80	799	14009
81	809	13994
82	818	13981
83	829	13974
84	838	13963
85	848	13947
86	858	13942
87	868	13930
88	878	13922
89	888	13916
90	898	13904
91	908	13900
92	917	13886
93	927	13877
94	937	13860
95	946	13848
96	956	13831
97	966	13826
98	975	13811
99	985	13798
100	995	13782
101	1004	13767
102	1013	13752
103	1023	13739
104	1032	13724
105	1042	13711
106	1053	13709
107	1063	13703
108	1075	13720
109	1085	13723
110	1095	13714
111	1105	13697
112	1114	13681
113	1124	13668
114	1133	13649
115	1143	13641
116	1153	13631
117	1163	13624
118	1172	13604
119	1181	13587
120	1190	13571
121	1200	13561
122	1210	13556
123	1220	13545
124	1230	13530
125	1239	13521
126	1249	13507
127	1258	13493
128	1268	13480
129	1278	13469
130	1287	13459
131	1298	13453
132	1307	13439
133	1317	13431
134	1327	13420
135	1336	13406
136	1346	13397
137	1356	13384
138	1365	13367
139	1375	13360
140	1385	13350
141	1395	13343
142	1405	13335
143	1415	13328
144	1425	13322
145	1435	13311
146	1444	13299
147	1454	13288
148	1464	13281
149	1474	13273
150	1484	13260
151	1495	13263
152	1504	13249
153	1514	13239
154	1524	13231
155	1534	13218
156	1544	13210
157	1554	13202
158	1564	13192
159	1574	13184
160	1585	13182
161	1595	13178
162	1605	13170
163	1615	13161
164	1625	13150
165	1635	13139
166	1645	13137
167	1657	13138
168	1666	13128
169	1677	13121
170	1687	13115
171	1697	13105
172	1706	13091
173	1716	13081
174	1726	13069
175	1735	13057
176	1745	13045
177	1754	13027
178	1763	13016
179	1773	13007
180	1783	12996
181	1793	12985
182	1802	12970
183	1811	12955
184	1820	12940
185	1829	12926
186	1839	12917
187	1849	12906
188	1859	12895
189	1869	12887
190	1878	12875
191	1888	12866
192	1898	12855
